Bridge and Town,NH #,Bridge Latitude and Longitude,Parking Latitude and Longitude,Parking Latitude and Longitude,Street Address,Notes,
"Columbia Bridge, Columbia",33,"44°51'11.2""N 71°33'06.3""W","44°51'10.5""N 71°33'04.6""W","44.852917, -71.551278","Columbia Bridge Rd, North Stratford, NH 03590",one car parking in NH,
"Pittsburg-Clarksville Bridge, Pittsburg",34,45 3.269N 71 24.404W,"45°03'17.1""N 71°24'24.6""W","45.054750, -71.406833","U.S. 3 & Bacon Road, Pittsburg, NH",possible parking on north side,
"Happy Corner Bridge, Pittsburg",35,"45°05'03.4""N 71°18'48.2""W","45°05'03.4""N 71°18'48.2""W","45.084278, -71.313389","605 Hill Rd, Pittsburg, NH 03592",,
"River Road Bridge, Pittsburg",36,"45°04'20.7""N 71°18'21.1""W","45°04'20.0""N 71°18'21.5""W","45.072222, -71.305972","250 River Rd, Pittsburg, NH 03592",pull off on south side,
"Stark Bridge, Stark",37,"44°36'03.4""N 71°24'29.1""W","44°36'02.6""N 71°24'28.5""W","44.600722, -71.407917","15 Northside Rd, Stark, NH 03582","parking on the east side, church and school",
"Sentinel Pine Bridge, Lincoln",38,"44°06'15.4""N 71°40'40.9""W","44°05'50.2""N 71°40'52.1""W","44.097278, -71.681139","852-870 Daniel Webster Hwy,Lincoln, NH 03251","park and hike, see Flume, 6,000 feet round trip?",
"Flume Bridge, Lincoln",39,"44°05'57.4""N 71°40'36.8""W",,,"852-870 Daniel Webster Hwy,Lincoln, NH 03251","park and hike, See Sentinel, omit from the search, just go from Sentinel",
"Blair Bridge, Campton",41,"43°48'37.0""N 71°39'56.3""W","43°48'37.0""N 71°39'59.9""W","43.810278, -71.666639","57 Blair Rd, Campton, NH 03223","good parking on the west side, bad on east",
"Turkey Jim's Bridge, Campton",42,43 51.137N 71 39.538W,"43°51'12.0""N 71°39'28.5""W","43.853333, -71.657917","Brian Way Section 7 Rd, Campton, NH 03223","Over the West Branch Brook in Campton on Old Stephans Road. The bridge can be reached by driving into the campground just east of U.S. Route 3 and north of N.H. Route 49. Might not be accessible, might be missing",
"Bump Bridge, Campton",43,"43°48'52.4""N 71°37'18.1""W","43°48'53.0""N 71°37'16.9""W","43.814722, -71.621361","278 Perch Pond Rd, Campton, NH 03223",parking on east side,
"Smith Bridge, Plymouth",44,43 46.520N 71 44.338W,"43°46'32.4""N 71°44'22.9""W","43.775667, -71.739694","101 Smith Bridge Rd, Plymouth, NH 03264",parking on west side,
"Durgin Bridge, Sandwich",45,"43°51'20.7""N 71°21'51.9""W","43°51'22.1""N 71°21'51.2""W","43.856139, -71.364222","1 Bridge View Rd, Tamworth, NH 03886",parking on north side,
"Whittier Bridge, Ossipee",46,"43°49'18.1""N 71°12'43.5""W","43°49'17.6""N 71°12'44.3""W","43.821556, -71.212306","23 Nudd Rd, West Ossipee, NH 03890","parking on south side, cannot cross, road is out",
Swift River Bridge,47,"43°59'05.2""N 71°07'09.9""W","43°59'03.8""N 71°07'10.1""W","43.984389, -71.119472","234 Hillside Ave Conway, NH 03818","Parking on south, can walk to Saco, 800 feet",
Saco River Bridge,48,"43°58'59.1""N 71°07'00.8""W","43°58'59.7""N 71°06'59.1""W","43.983250, -71.116417","66-67 East Side Rd, Conway, NH 03818","very close to Swift River Bridge, 800 feet",
"Albany Bridge, Albany",49,"44°00'21.1""N 71°14'26.3""W","44°00'20.6""N 71°14'29.2""W","44.005722, -71.241444","Route 112 and Passaconaway Rd Albany, NH 03818",large parking area on west side,
"Bartlett Bridge, Bartlett",50,"44°05'41.8""N 71°12'12.4""W","44°05'40.1""N 71°12'12.4""W","44.094472, -71.203444","404 US-302, Glen, NH 03838",near B&B,
"Honeymoon Bridge, Jackson",51,"44°08'29.8""N 71°11'10.5""W","44°08'31.2""N 71°11'07.7""W","44.142000, -71.185472","21 Main St, Jackson, NH 03846",parking on east side,
"Pier Bridge, Newport",57,"43°21'43.3""N 72°14'28.2""W","43°21'36.6""N 72°14'44.6""W","43.360167, -72.245722","50 Chandlers Mill Rd, Newport, NH 03773","park and hike 2,000 feet, very close to Wright’s, one car pull off at bridge",
"Wright's Bridge, Newport",58,"43°21'32.3""N 72°15'33.4""W","43°21'30.7""N 72°15'13.6""W","43.358528, -72.253778","370 Chandlers Mill Rd, Newport, NH 03773","park and hike 1,400 feet, very close to Pier, not much parking",
"Sulphite Bridge, Franklin",62,"43°26'42.1""N 71°38'07.1""W","43°26'43.2""N 71°38'36.4""W","43.445333, -71.643444","488 Central St, Franklin, New Hampshire","park somewhere, 2,500 foot hike, see if there is sketchy access on Terrace Road apartment building out back",
"Heniker Bridge, Heniker",63,"43°10'38.8""N 71°49'27.1""W","43°10'39.3""N 71°49'19.4""W","43.177583, -71.822056","83 Bridge St, Henniker, NH 03242",on campus,
"Clark's Bridge, North Woodstock",64,"44°03'05.0""N 71°41'16.2""W","44°02'58.3""N 71°41'14.9""W","44.049528, -71.687472","179 Daniel Webster Hwy Lincoln, NH 03251",short hike from large parking lot,
"Squam Bridge, Ashland",65,"43°43'08.0""N 71°37'08.5""W","43°43'06.0""N 71°37'05.7""W","43.718333, -71.618250","299 River St, Ashland, NH 03217",parking on south east side,
"Packard Hill Bridge, Lebanon",67,"43°38'19.0""N 72°13'20.5""W","43°38'20.6""N 72°13'19.8""W","43.639056, -72.222167","13 Riverside Dr, Lebanon, NH 03766",parking on north,
